suburb,postcode,lat,lon,total_patient,population,age,AM,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
BERALA,2141,-33.871904,151.031033,7,9026,adult,29,0.0,Korean Restaurant,Coffee Shop,Asian Restaurant,Train Station,Thai Restaurant,Supermarket,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service
BERKSHIRE PARK,2765,-33.672237,150.79576,7,2138,adult,29,1.0,Pool,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
BEROWRA,2081,-33.623581,151.150117,2,4727,mid-age,49,0.0,Platform,Fast Food Restaurant,Coffee Shop,Soccer Field,Sandwich Place,Liquor Store,Chinese Restaurant,Train Station,Bus Stop,Park
BEROWRA HEIGHTS,2082,-33.610968,151.136829,0,5272,mid-age,49,0.0,Pizza Place,Coffee Shop,Café,Grocery Store,Supermarket,Pub,Burger Joint,Thai Restaurant,Shopping Mall,Film Studio
BEROWRA WATERS,2082,-33.601653000000006,151.11837,0,135,senior+,69,1.0,Seafood Restaurant,Boat or Ferry,Harbor / Marina,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
BERRILEE,2159,-33.61497,151.095573,3,236,mid-age,49,,,,,,,,,,,
BEVERLEY PARK,2217,-33.975134999999995,151.13134499999998,10,2392,mid-age,49,1.0,Park,Football Stadium,Restaurant,Chinese Restaurant,Dim Sum Restaurant,Café,Sports Bar,Sporting Goods Shop,Fast Food Restaurant,Electronics Store
BEVERLY HILLS,2209,-33.954218,151.07636399999998,12,10167,adult,29,,,,,,,,,,,
BEXLEY,2207,-33.949135,151.12721000000002,10,19722,adult,29,0.0,Convenience Store,Greek Restaurant,Pizza Place,Grocery Store,Pub,Liquor Store,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service
BEXLEY NORTH,2207,-33.938306,151.11418600000002,10,4096,mid-age,49,3.0,Café,Thai Restaurant,Japanese Restaurant,Pizza Place,Grocery Store,Pub,Egyptian Restaurant,Electronics Store,Event Service,Event Space
BICKLEY VALE,2570,-34.070904999999996,150.666238,16,446,senior+,69,,,,,,,,,,,
BIDWILL,2770,-33.73024,150.822765,12,4281,young,9,0.0,Convenience Store,Bar,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
BIRCHGROVE,2041,-33.853386,151.180609,9,3302,mid-age,49,3.0,Café,Pub,Bar,Sushi Restaurant,Dessert Shop,Tapas Restaurant,Tennis Court,Donut Shop,Frozen Yogurt Shop,Italian Restaurant
BIRRONG,2143,-33.89022,151.022398,0,3109,adult,29,1.0,Women's Store,Grocery Store,Train Station,Mediterranean Restaurant,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
BLACKETT,2770,-33.738507,150.811206,12,3452,adult,29,1.0,Soccer Field,Gym Pool,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
BLACKTOWN,2148,-33.770184,150.908501,34,47175,adult,29,0.0,Fast Food Restaurant,Supermarket,Department Store,Juice Bar,Plaza,Coffee Shop,Cuban Restaurant,Thai Restaurant,Food Court,Chinese Restaurant
BLAIR ATHOL,2560,-34.063835,150.806007,19,2886,adult,29,0.0,Convenience Store,Supermarket,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
BLAIRMOUNT,2559,-34.049485,150.799611,0,422,adult,29,,,,,,,,,,,
BLAKEHURST,2221,-33.988743,151.112314,2,6213,mid-age,49,1.0,Sporting Goods Shop,Dim Sum Restaurant,Park,Burger Joint,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
BLIGH PARK,2756,-33.63765,150.79458,12,6362,adult,29,1.0,Fishing Store,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
BONDI,2026,-33.893739000000004,151.262502,113,10043,adult,29,0.0,Park,Pizza Place,Bakery,Café,Grocery Store,Australian Restaurant,Coffee Shop,Thai Restaurant,Gas Station,Brazilian Restaurant
BONDI BEACH,2026,-33.890541999999996,151.274856,113,11659,adult,29,3.0,Café,Italian Restaurant,Australian Restaurant,Bakery,Wine Bar,Restaurant,Pizza Place,Ice Cream Shop,Trail,Beach Bar
BONDI JUNCTION,2022,-33.892324,151.24733,37,9464,adult,29,0.0,Café,Gym,Japanese Restaurant,Thai Restaurant,Noodle House,Clothing Store,Coffee Shop,Pub,Pizza Place,Vegetarian / Vegan Restaurant
BONNET BAY,2226,-34.009518,151.054252,2,2266,mid-age,49,3.0,Convenience Store,Gym,Café,Deli / Bodega,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant,Farm
BONNYRIGG,2177,-33.888801,150.886505,2,8670,adult,29,0.0,Park,Department Store,Food & Drink Shop,Gym / Fitness Center,Supermarket,Fast Food Restaurant,Café,Dessert Shop,Sandwich Place,Pizza Place
BONNYRIGG HEIGHTS,2177,-33.892666999999996,150.868448,2,7310,mid-age,49,2.0,Playground,Park,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
BOSSLEY PARK,2176,-33.86626,150.88415,18,14594,mid-age,49,0.0,Bar,Pizza Place,Gym,Buffet,Park,Italian Restaurant,Field,Electronics Store,Event Service,Event Space
BOTANY,2019,-33.94477,151.196528,6,10823,adult,29,3.0,Café,Pub,Pizza Place,Grocery Store,Gym,Falafel Restaurant,Asian Restaurant,Seafood Restaurant,Park,Fried Chicken Joint
BOW BOWING,2566,-34.015342,150.83682,4,1590,mid-age,49,1.0,Tennis Court,Yoga Studio,Food Stand,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
BOX HILL,2765,-33.639115000000004,150.904697,7,905,senior+,69,1.0,Restaurant,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
