suburb,postcode,lat,lon,total_patient,population,age,AM,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
GROSE WOLD,2753,-33.602392,150.688628,5,633,mid-age,49,,,,,,,,,,,
GUILDFORD,2161,-33.853984000000004,150.985958,8,22342,adult,29,1.0,Lebanese Restaurant,Gas Station,Grocery Store,Bakery,Platform,Flower Shop,Egyptian Restaurant,Electronics Store,Food & Drink Shop,Event Service
GUILDFORD WEST,2161,-33.851099,150.972299,8,4919,adult,29,0.0,Convenience Store,Home Service,Sports Club,BBQ Joint,Cupcake Shop,Electronics Store,Event Space,Falafel Restaurant,Farm,Farmers Market
GYMEA,2227,-34.033142,151.085421,6,7577,mid-age,49,3.0,Café,Pizza Place,Italian Restaurant,Convenience Store,Sandwich Place,Coffee Shop,Pub,Art Gallery,Train Station,Electronics Store
GYMEA BAY,2227,-34.048156,151.08608700000002,6,6878,mid-age,49,1.0,Playground,Home Service,Mexican Restaurant,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
HABERFIELD,2045,-33.880496,151.138839,1,6469,mid-age,49,3.0,Italian Restaurant,Pizza Place,Café,Coffee Shop,Grocery Store,Japanese Restaurant,Bakery,Fishing Store,Farmers Market,Electronics Store
HAMMONDVILLE,2170,-33.948113,150.95372700000001,22,3487,senior+,69,0.0,Grocery Store,Bakery,Café,Shopping Mall,Fast Food Restaurant,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant
HARRINGTON PARK,2567,-34.023239000000004,150.742232,19,10653,mid-age,49,1.0,Restaurant,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
HARRIS PARK,2150,-33.822427000000005,151.008961,5,5797,adult,29,0.0,Indian Restaurant,Gym,Café,Coffee Shop,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
HASSALL GROVE,2761,-33.733813,150.83427700000001,15,4510,mid-age,49,0.0,Convenience Store,Park,Snack Place,Smoke Shop,Australian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
HAYMARKET,2000,-33.880777,151.202796,18,7341,adult,29,0.0,Thai Restaurant,Chinese Restaurant,Korean Restaurant,Café,Japanese Restaurant,Hotel,Malay Restaurant,Taiwanese Restaurant,Theater,Coffee Shop
HEATHCOTE,2233,-34.079112,151.00861899999998,13,5998,mid-age,49,0.0,Fast Food Restaurant,Sandwich Place,Liquor Store,Yoga Studio,Food Service,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
HEBERSHAM,2770,-33.743503999999994,150.82268200000001,12,5686,adult,29,1.0,Soccer Field,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
HECKENBERG,2168,-33.911083000000005,150.889921,13,3082,adult,29,1.0,Carpet Store,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
HENLEY,2111,-33.842216,151.135943,12,470,mid-age,49,1.0,Park,Tennis Court,Skate Park,Australian Restaurant,Farmers Market,Bus Station,Yoga Studio,Event Service,Event Space,Falafel Restaurant
HILLSDALE,2036,-33.952684999999995,151.231341,12,5494,adult,29,0.0,Dive Shop,Shopping Mall,Supermarket,Park,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant,Farm
HINCHINBROOK,2168,-33.916610999999996,150.86386299999998,13,11203,mid-age,49,1.0,Social Club,Carpet Store,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
HOBARTVILLE,2753,-33.601557,150.735673,5,2761,adult,29,0.0,Pub,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
HOLROYD,2142,-33.829836,150.993334,7,1284,adult,29,3.0,Electronics Store,Café,Park,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
HOLSWORTHY,2173,-33.950403,150.949972,1,5481,adult,29,0.0,Grocery Store,Bakery,Café,Shopping Mall,Fast Food Restaurant,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant
HOMEBUSH,2140,-33.859654,151.081847,5,6991,adult,29,1.0,Sporting Goods Shop,Dog Run,Bus Stop,Park,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant,Farm
HOMEBUSH WEST,2140,-33.866788,151.069369,5,8607,adult,29,1.0,Vietnamese Restaurant,Café,Asian Restaurant,Convenience Store,Park,Fish Market,Golf Course,Bakery,BBQ Joint,Juice Bar
HORNINGSEA PARK,2171,-33.945088,150.842975,12,3733,mid-age,49,,,,,,,,,,,
HORNSBY,2077,-33.704747999999995,151.098696,22,22173,adult,29,3.0,Café,Fast Food Restaurant,Supermarket,Bakery,Gym,Asian Restaurant,Movie Theater,Korean Restaurant,Electronics Store,Ramen Restaurant
HORNSBY HEIGHTS,2077,-33.670086,151.095503,22,6290,mid-age,49,2.0,Park,Food & Drink Shop,Home Service,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
HORSLEY PARK,2175,-33.845034000000005,150.84819199999998,0,1861,mid-age,49,3.0,Grocery Store,Café,Athletics & Sports,Park,Field,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
HOXTON PARK,2171,-33.92678,150.857888,12,4354,adult,29,0.0,Chinese Restaurant,Italian Restaurant,Yoga Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
HUNTERS HILL,2110,-33.83484,151.15419599999998,10,9525,mid-age,49,3.0,Italian Restaurant,Breakfast Spot,River,Café,Yoga Studio,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
HUNTINGWOOD,2148,-33.797537,150.879863,34,15,senior+,69,,,,,,,,,,,
HUNTLEYS COVE,2111,-33.839797999999995,151.144587,12,745,senior+,69,1.0,Pier,Park,Harbor / Marina,Farmers Market,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant
HUNTLEYS POINT,2111,-33.840088,151.14596799999998,12,138,mid-age,49,1.0,Boat or Ferry,Pier,Park,Harbor / Marina,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant
HURLSTONE PARK,2193,-33.909964,151.13224,10,4682,mid-age,49,1.0,Platform,Playground,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
HURSTVILLE,2220,-33.965923,151.10118400000002,9,29829,adult,29,0.0,Chinese Restaurant,Fast Food Restaurant,Supermarket,Café,Japanese Restaurant,Bakery,Asian Restaurant,Dim Sum Restaurant,Vietnamese Restaurant,Dumpling Restaurant
HURSTVILLE GROVE,2220,-33.980653000000004,151.091136,9,2678,mid-age,49,1.0,Soccer Field,Dog Run,Clothing Store,Park,Harbor / Marina,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space
ILLAWONG,2234,-33.998018,151.042591,20,7262,mid-age,49,0.0,Convenience Store,Bakery,Gym,Café,Shopping Mall,Field,Event Service,Event Space,Falafel Restaurant,Farm
INGLEBURN,2565,-33.998718,150.866344,3,15046,adult,29,0.0,Supermarket,Thai Restaurant,Pizza Place,Café,Coffee Shop,Fast Food Restaurant,Yoga Studio,Event Service,Event Space,Falafel Restaurant
INGLESIDE,2101,-33.683176,151.26232199999998,9,986,mid-age,49,1.0,Farmers Market,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Fast Food Restaurant,Field
JAMISONTOWN,2750,-33.766193,150.67951000000002,27,5480,adult,29,0.0,Convenience Store,Gym,Sandwich Place,Australian Restaurant,Mexican Restaurant,Field,Event Service,Event Space,Falafel Restaurant,Farm
KANGAROO POINT,2224,-33.997972,151.096235,7,549,mid-age,49,1.0,Boat or Ferry,Yoga Studio,Film Studio,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
KAREELA,2232,-34.014668,151.08273300000002,18,3456,senior+,69,0.0,Supermarket,Shopping Mall,Café,Restaurant,Coffee Shop,Bakery,Fish Market,Fishing Store,Electronics Store,Event Service
KEARNS,2558,-34.021321,150.803211,5,2756,mid-age,49,1.0,Grocery Store,BBQ Joint,Kids Store,Athletics & Sports,Pub,Scenic Lookout,Fast Food Restaurant,Electronics Store,Event Service,Event Space
KELLYVILLE,2155,-33.712415,150.958009,25,27976,mid-age,49,0.0,Burger Joint,Pizza Place,Indian Restaurant,Chinese Restaurant,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
KELLYVILLE RIDGE,2155,-33.700103999999996,150.92865,25,10471,adult,29,0.0,Bus Line,Liquor Store,Fast Food Restaurant,Pub,Bus Stop,Park,Yoga Studio,Event Space,Falafel Restaurant,Farm
KEMPS CREEK,2178,-33.88013,150.79048500000002,2,2274,mid-age,49,1.0,Bookstore,Gas Station,Food Truck,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
KENSINGTON,2033,-33.912997,151.21901699999998,8,14985,adult,29,0.0,Hunan Restaurant,Sushi Restaurant,Indonesian Restaurant,Kids Store,Malay Restaurant,Pizza Place,Chinese Restaurant,Supermarket,Hotel,Arcade
KENTHURST,2156,-33.661023,151.005034,3,5035,mid-age,49,3.0,Café,Fish & Chips Shop,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
KENTLYN,2560,-34.073171,150.85743,19,746,senior+,69,,,,,,,,,,,
KILLARA,2071,-33.766376,151.162047,4,10573,mid-age,49,3.0,Theater,Golf Course,Café,Asian Restaurant,Train Station,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
KILLARNEY HEIGHTS,2087,-33.773728000000006,151.216125,6,4477,mid-age,49,3.0,Café,Bakery,Pool,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
KINGS LANGLEY,2147,-33.742079,150.92271100000002,12,9365,mid-age,49,0.0,Supermarket,Pizza Place,Dentist's Office,Coffee Shop,Liquor Store,Bakery,Yoga Studio,Event Space,Falafel Restaurant,Farm
KINGS PARK,2148,-33.745736,150.904598,34,3456,adult,29,0.0,Convenience Store,Café,Australian Restaurant,Pub,Stadium,Chinese Restaurant,Yoga Studio,Field,Event Service,Event Space
KINGSFORD,2032,-33.924921999999995,151.227811,7,15481,adult,29,0.0,Chinese Restaurant,Indonesian Restaurant,Thai Restaurant,Café,Malay Restaurant,Park,Italian Restaurant,Grocery Store,Frozen Yogurt Shop,Fast Food Restaurant
KINGSGROVE,2208,-33.939481,151.098941,2,12449,mid-age,49,3.0,Pub,Café,Pizza Place,Gym,Trail,Bus Station,Supermarket,Park,Vietnamese Restaurant,Filipino Restaurant
KINGSWOOD,2340,-31.165879999999998,150.91944099999998,12,1042,mid-age,49,0.0,Convenience Store,Fast Food Restaurant,Restaurant,Athletics & Sports,Train Station,Sandwich Place,Sports Bar,Indian Restaurant,Motel,Pizza Place
KINGSWOOD,2550,-36.738556,149.81742,1,6,mid-age,49,0.0,Convenience Store,Fast Food Restaurant,Restaurant,Athletics & Sports,Train Station,Sandwich Place,Sports Bar,Indian Restaurant,Motel,Pizza Place
KINGSWOOD,2747,-33.759966999999996,150.72046,50,9297,adult,29,0.0,Convenience Store,Fast Food Restaurant,Restaurant,Athletics & Sports,Train Station,Sandwich Place,Sports Bar,Indian Restaurant,Motel,Pizza Place
KIRKHAM,2570,-34.038536,150.71674,16,701,mid-age,49,,,,,,,,,,,
KIRRAWEE,2232,-34.033743,151.071196,18,9286,senior+,69,0.0,Japanese Restaurant,Hotel Bar,Café,Fast Food Restaurant,Shopping Mall,Yoga Studio,Event Service,Event Space,Falafel Restaurant,Farm
KIRRIBILLI,2061,-33.846275,151.212705,3,3826,adult,29,3.0,Café,Park,Thai Restaurant,Italian Restaurant,Theme Park Ride / Attraction,Bar,Train Station,Whisky Bar,Theater,Tapas Restaurant
KOGARAH,2217,-33.963107,151.133462,10,15126,adult,29,0.0,Café,Thai Restaurant,Pub,Gym,Martial Arts Dojo,Sandwich Place,Supermarket,Lebanese Restaurant,Bakery,Chinese Restaurant
KOGARAH BAY,2217,-33.979116999999995,151.12329599999998,10,2018,mid-age,49,0.0,Convenience Store,Pizza Place,Paper / Office Supplies Store,Park,Fast Food Restaurant,Yoga Studio,Field,Electronics Store,Event Service,Event Space
KURMOND,2757,-33.549452,150.70111599999998,1,859,mid-age,49,,,,,,,,,,,
KURNELL,2231,-34.008487,151.204879,1,2271,mid-age,49,4.0,Beach,Fish & Chips Shop,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
KURRAJONG,2758,-33.546749,150.660686,4,3062,mid-age,49,,,,,,,,,,,
KURRAJONG HILLS,2758,-33.541464000000005,150.639331,4,663,mid-age,49,3.0,Café,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
KYEEMAGH,2216,-33.951452,151.159943,13,907,senior+,69,1.0,Park,Sports Bar,Seafood Restaurant,Beach,Fish & Chips Shop,Yoga Studio,Event Service,Event Space,Falafel Restaurant,Farm
KYLE BAY,2221,-33.991238,151.098301,2,1041,mid-age,49,3.0,Italian Restaurant,Café,Pub,Park,Yoga Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
LA PEROUSE,2036,-33.989634,151.231507,12,407,mid-age,49,3.0,Beach,Café,Tour Provider,Fish & Chips Shop,History Museum,Historic Site,Burger Joint,Bus Stop,Park,Seafood Restaurant
LAKEMBA,2195,-33.920457,151.075921,5,17031,adult,29,0.0,Pizza Place,Lebanese Restaurant,Supermarket,Boutique,Night Market,Grocery Store,Indonesian Restaurant,Train Station,Yoga Studio,Electronics Store
LALOR PARK,2147,-33.761339,150.930337,12,7662,adult,29,0.0,Pizza Place,Grocery Store,Café,Business Service,Shopping Mall,Yoga Studio,Fast Food Restaurant,Event Service,Event Space,Falafel Restaurant
LANE COVE,2066,-33.814599,151.168722,16,10817,adult,29,0.0,Café,Gym,Pizza Place,Thai Restaurant,Supermarket,Bakery,Chinese Restaurant,Japanese Restaurant,Fried Chicken Joint,Sushi Restaurant
LANE COVE NORTH,2066,-33.807556,151.17091200000002,16,11442,adult,29,1.0,Playground,Brewery,Café,Coffee Shop,Park,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
LANE COVE WEST,2066,-33.806246,151.153281,16,2625,mid-age,49,3.0,Café,Park,Spa,Thai Restaurant,Climbing Gym,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant
LANSDOWNE,2163,-33.893687,150.971005,7,14,adult,29,1.0,Lake,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
LANSDOWNE,2430,-31.782989,152.534579,16,596,senior+,69,1.0,Lake,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
LANSVALE,2166,-33.89733,150.952786,4,2554,mid-age,49,0.0,Food Truck,Fast Food Restaurant,Gym,Chinese Restaurant,Italian Restaurant,Flower Shop,Food & Drink Shop,Electronics Store,Food Court,Event Service
LAUGHTONDALE,2775,-33.410229,151.02459199999998,0,81,mid-age,49,,,,,,,,,,,
LAVENDER BAY,2060,-33.843070000000004,151.208015,11,956,adult,29,3.0,Café,Coffee Shop,Bar,Bakery,Juice Bar,Japanese Restaurant,Gym,Dumpling Restaurant,Electronics Store,Garden
LEETS VALE,2775,-33.427708,150.948095,0,57,senior+,69,,,,,,,,,,,
LEICHHARDT,2040,-33.883793,151.157057,11,14625,adult,29,3.0,Café,Italian Restaurant,Pub,Thai Restaurant,Japanese Restaurant,Sushi Restaurant,Gym,Grocery Store,Bakery,Bar
LEONAY,2750,-33.759156,150.65231799999998,27,2503,mid-age,49,1.0,Golf Course,Sports Bar,River,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
LEPPINGTON,2179,-33.964333,150.81727,1,3501,adult,29,0.0,Gas Station,Shopping Mall,Yoga Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
LETHBRIDGE PARK,2770,-33.736938,150.799824,12,4730,adult,29,,,,,,,,,,,
LEUMEAH,2560,-34.052285,150.833396,19,9826,adult,29,0.0,Platform,Pizza Place,Grocery Store,Sports Bar,Neighborhood,Stadium,Athletics & Sports,Fast Food Restaurant,Electronics Store,Event Service
LEWISHAM,2049,-33.894902,151.144413,4,3161,adult,29,3.0,Café,Platform,Advertising Agency,Light Rail Station,Deli / Bodega,Gym,Newsstand,Bakery,Paper / Office Supplies Store,Farmers Market
LIBERTY GROVE,2138,-33.841665,151.083609,4,2254,adult,29,0.0,Bakery,Lake,Pizza Place,Liquor Store,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
LIDCOMBE,2141,-33.865218,151.043519,7,19620,adult,29,0.0,Café,Park,Korean Restaurant,Vietnamese Restaurant,Grocery Store,Fried Chicken Joint,Bakery,Garden,Sandwich Place,Chinese Restaurant
LILLI PILLI,2229,-34.069835999999995,151.114032,15,1378,mid-age,49,1.0,Pool,Boat or Ferry,Harbor / Marina,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
LILLI PILLI,2536,-35.773317,150.225056,5,618,senior+,69,1.0,Pool,Boat or Ferry,Harbor / Marina,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
LILYFIELD,2040,-33.872991,151.165788,11,7611,mid-age,49,0.0,Grocery Store,Fast Food Restaurant,Breakfast Spot,Pizza Place,Café,Bus Stop,Park,Yoga Studio,Event Service,Event Space
LINDFIELD,2070,-33.776441,151.16873600000002,10,9774,mid-age,49,3.0,Café,Pizza Place,Coffee Shop,Platform,Convenience Store,Thai Restaurant,Farmers Market,Train Station,Japanese Restaurant,Fruit & Vegetable Store
LINLEY POINT,2066,-33.826777,151.148251,16,352,mid-age,49,2.0,Park,Historic Site,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
LITTLE BAY,2036,-33.981177,151.24320600000001,12,4474,adult,29,3.0,Park,Supermarket,Italian Restaurant,Pizza Place,Café,Asian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
LIVERPOOL,2170,-33.92505,150.924429,22,27107,adult,29,3.0,Lebanese Restaurant,Café,Gym,Indian Restaurant,Shopping Mall,Dessert Shop,Cafeteria,Italian Restaurant,Fast Food Restaurant,Event Service
LLANDILO,2747,-33.708904,150.756773,50,1640,mid-age,49,3.0,Café,Golf Course,Yoga Studio,Food Stand,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
LOFTUS,2232,-34.048075,151.051176,18,4135,mid-age,49,0.0,Fast Food Restaurant,Bakery,Light Rail Station,River,Train Station,Museum,Yoga Studio,Event Service,Event Space,Falafel Restaurant
LONDONDERRY,2753,-33.645188,150.73698000000002,5,3896,mid-age,49,0.0,Pizza Place,Distribution Center,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
LONG POINT,2330,-32.568903000000006,151.109612,3,35,mid-age,49,,,,,,,,,,,
LONG POINT,2564,-34.016436999999996,150.898579,5,188,senior+,69,,,,,,,,,,,
LONG POINT,2564,-34.011944,150.896944,11,193,adult,29,,,,,,,,,,,
LONGUEVILLE,2066,-33.833096000000005,151.16534199999998,16,2082,mid-age,49,2.0,Park,Harbor / Marina,Bus Stop,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
LOVETT BAY,2105,-33.637405,151.27842900000002,0,141,mid-age,49,4.0,Beach,Yoga Studio,Food Truck,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
LOWER PORTLAND,2756,-33.451409000000005,150.865871,12,586,mid-age,49,,,,,,,,,,,
LUCAS HEIGHTS,2234,-34.047985,150.988369,20,10529,senior+,69,,,,,,,,,,,
LUDDENHAM,2745,-33.883725,150.693079,13,1814,mid-age,49,1.0,Grocery Store,Burger Joint,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
LUGARNO,2210,-33.982956,151.046942,21,5616,mid-age,49,2.0,Thai Restaurant,Business Service,Park,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
LURNEA,2170,-33.931946999999994,150.896105,22,9333,adult,29,0.0,Bakery,Pizza Place,Kids Store,Pharmacy,Shopping Mall,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
MACQUARIE FIELDS,2564,-33.989471,150.882626,5,13728,adult,29,0.0,Bakery,Pizza Place,Fish & Chips Shop,Chinese Restaurant,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant,Farm
MACQUARIE LINKS,2565,-33.982185,150.86756100000002,3,1373,mid-age,49,2.0,Park,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
MACQUARIE PARK,2113,-33.779795,151.134041,22,8153,adult,29,2.0,Park,Coffee Shop,Steakhouse,Garden Center,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant,Farm
MAIANBAR,2230,-34.081826,151.129788,25,498,mid-age,49,3.0,Café,Home Service,Trail,Harbor / Marina,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
MALABAR,2036,-33.965376,151.245969,12,5423,mid-age,49,3.0,Café,Bus Station,Restaurant,Fried Chicken Joint,Trail,Burger Joint,Chinese Restaurant,Yoga Studio,Event Space,Falafel Restaurant
MANLY,2095,-33.797144,151.28804,20,15854,adult,29,3.0,Café,Bar,Bakery,Coffee Shop,Ice Cream Shop,Seafood Restaurant,Beach,Mexican Restaurant,Thai Restaurant,Pizza Place
MANLY VALE,2093,-33.784036,151.267315,12,6166,adult,29,0.0,Thai Restaurant,Pool,Liquor Store,Furniture / Home Store,Fast Food Restaurant,Supermarket,Yoga Studio,Field,Event Service,Event Space
MARAYLYA,2765,-33.58198,150.90695,7,1240,mid-age,49,,,,,,,,,,,
MARAYONG,2148,-33.746168,150.898338,34,7727,adult,29,1.0,Australian Restaurant,Business Service,Stadium,Pub,Chinese Restaurant,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant
MAROOTA,2756,-33.473024,150.970972,12,634,mid-age,49,1.0,Gas Station,Yoga Studio,Food Stand,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
MAROUBRA,2035,-33.946123,151.242818,22,30681,adult,29,0.0,Convenience Store,Pizza Place,Sushi Restaurant,Burger Joint,Food,Flower Shop,Event Service,Event Space,Falafel Restaurant,Farm
MARRICKVILLE,2204,-33.910923,151.15718700000002,10,26607,adult,29,3.0,Vietnamese Restaurant,Café,Bar,Gym,Deli / Bodega,Greek Restaurant,Pizza Place,Seafood Restaurant,Sandwich Place,Lounge
MARSDEN PARK,2765,-33.697585,150.832318,7,1009,senior+,69,,,,,,,,,,,
MARSFIELD,2122,-33.783971,151.09424099999998,25,13293,adult,29,0.0,Pizza Place,Thai Restaurant,Breakfast Spot,Restaurant,Indian Restaurant,Business Service,Park,Chinese Restaurant,Yoga Studio,Farmers Market
MASCOT,2020,-33.931189,151.19431,12,14759,adult,29,3.0,Thai Restaurant,Café,Bakery,Souvlaki Shop,Coffee Shop,Grocery Store,Indonesian Restaurant,Fried Chicken Joint,Italian Restaurant,Hotel
MATRAVILLE,2036,-33.957549,151.23084599999999,12,9812,mid-age,49,0.0,Convenience Store,Shopping Plaza,Sandwich Place,Supermarket,Bakery,Pizza Place,Flea Market,Farmers Market,Electronics Store,Event Service
MAYS HILL,2145,-33.82066,150.990511,42,762,adult,29,2.0,Park,Museum,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
MCGRATHS HILL,2756,-33.613434999999996,150.840222,12,2550,mid-age,49,0.0,Miscellaneous Shop,Shopping Mall,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
MCMAHONS POINT,2060,-33.844640000000005,151.20425,11,2283,adult,29,1.0,Park,Hotel,Coffee Shop,Moroccan Restaurant,Mediterranean Restaurant,Café,Garden,Bar,Gym,Australian Restaurant
MEADOWBANK,2114,-33.815912,151.090715,12,4406,adult,29,0.0,Grocery Store,Park,Thai Restaurant,Train Station,Pizza Place,Café,Pharmacy,Shopping Mall,Gym,Chinese Restaurant
MELROSE PARK,2114,-33.816575,151.076089,12,1576,mid-age,49,2.0,Gym,Park,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
MENAI,2234,-34.012564000000005,151.014645,20,10321,mid-age,49,0.0,Sushi Restaurant,Fast Food Restaurant,Sandwich Place,Bus Station,Bar,Supermarket,Café,Liquor Store,Juice Bar,Australian Restaurant
MENANGLE PARK,2563,-34.100121,150.757016,0,258,adult,29,1.0,Gift Shop,Yoga Studio,Food Stand,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
MERRYLANDS,2160,-33.836381,150.989219,6,29660,adult,29,0.0,Fast Food Restaurant,Pizza Place,Café,Supermarket,Coffee Shop,Thai Restaurant,Discount Store,Food Court,Farmers Market,Big Box Store
MERRYLANDS WEST,2160,-33.832864,150.972036,6,6596,adult,29,0.0,Fast Food Restaurant,Pizza Place,Grocery Store,Middle Eastern Restaurant,Pub,Gym,Yoga Studio,Electronics Store,Event Service,Event Space
MIDDLE COVE,2068,-33.794087,151.207975,15,1327,mid-age,49,2.0,Park,Playground,Café,Bus Stop,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
MIDDLE DURAL,2158,-33.648471,151.021276,3,1011,senior+,69,1.0,Indian Restaurant,Golf Course,Lingerie Store,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
MIDDLETON GRANGE,2171,-33.914093,150.843547,12,5181,adult,29,,,,,,,,,,,
MILLERS POINT,2000,-33.858315000000005,151.203519,18,1494,mid-age,49,3.0,Café,Pub,Hotel,Coffee Shop,Harbor / Marina,Park,Brewery,Italian Restaurant,Japanese Restaurant,Theater
MILPERRA,2214,-33.937834,150.989263,0,3938,mid-age,49,0.0,Construction & Landscaping,Golf Course,Deli / Bodega,Fast Food Restaurant,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
MILSONS PASSAGE,2083,-33.518966999999996,151.176541,0,16,senior+,69,,,,,,,,,,,
MILSONS POINT,2061,-33.847526,151.211568,3,2166,adult,29,3.0,Café,Italian Restaurant,Park,Thai Restaurant,Bar,Theme Park Ride / Attraction,Train Station,Pub,Theater,Tapas Restaurant
MINCHINBURY,2770,-33.781673,150.81366699999998,12,5626,adult,29,3.0,Café,Sandwich Place,Shopping Mall,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
