suburb,postcode,lat,lon,total_patient,population,age,AM
LUDDENHAM,2745,-33.883725,150.693079,13,1814,mid-age,49
LUGARNO,2210,-33.982956,151.046942,21,5616,mid-age,49
LURNEA,2170,-33.931946999999994,150.896105,22,9333,adult,29
MACQUARIE FIELDS,2564,-33.989471,150.882626,5,13728,adult,29
MACQUARIE LINKS,2565,-33.982185,150.86756100000002,3,1373,mid-age,49
MACQUARIE PARK,2113,-33.779795,151.134041,22,8153,adult,29
MAIANBAR,2230,-34.081826,151.129788,25,498,mid-age,49
MALABAR,2036,-33.965376,151.245969,12,5423,mid-age,49
MANLY,2095,-33.797144,151.28804,20,15854,adult,29
MANLY VALE,2093,-33.784036,151.267315,12,6166,adult,29
MARAYLYA,2765,-33.58198,150.90695,7,1240,mid-age,49
MARAYONG,2148,-33.746168,150.898338,34,7727,adult,29
MAROOTA,2756,-33.473024,150.970972,12,634,mid-age,49
MAROUBRA,2035,-33.946123,151.242818,22,30681,adult,29
MARRICKVILLE,2204,-33.910923,151.15718700000002,10,26607,adult,29
MARSDEN PARK,2765,-33.697585,150.832318,7,1009,senior+,69
MARSFIELD,2122,-33.783971,151.09424099999998,25,13293,adult,29
MASCOT,2020,-33.931189,151.19431,12,14759,adult,29
MATRAVILLE,2036,-33.957549,151.23084599999999,12,9812,mid-age,49
MAYS HILL,2145,-33.82066,150.990511,42,762,adult,29
MCGRATHS HILL,2756,-33.613434999999996,150.840222,12,2550,mid-age,49
MCMAHONS POINT,2060,-33.844640000000005,151.20425,11,2283,adult,29
MEADOWBANK,2114,-33.815912,151.090715,12,4406,adult,29
MELROSE PARK,2114,-33.816575,151.076089,12,1576,mid-age,49
MENAI,2234,-34.012564000000005,151.014645,20,10321,mid-age,49
MENANGLE PARK,2563,-34.100121,150.757016,0,258,adult,29
