population,age
15521,20 to 39
1405,40 to 59
,60+
14705,20 to 39
6172,20 to 39
10040,20 to 39
10119,20 to 39
3795,20 to 39
11589,20 to 39
7835,20 to 39
10088,40 to 59
1610,40 to 59
2293,40 to 59
7971,40 to 59
8720,20 to 39
5585,20 to 39
2545,20 to 39
4999,40 to 59
6657,40 to 59
26507,20 to 39
294,40 to 59
316,40 to 59
3137,5 to 19
1236,40 to 59
591,40 to 59
10296,40 to 59
3,40 to 59
4977,20 to 39
582,40 to 59
7133,40 to 59
5812,20 to 39
19308,20 to 39
3462,20 to 39
404,40 to 59
4159,20 to 39
297,60+
3,20 to 39
8,20 to 39
11977,20 to 39
5135,20 to 39
547,40 to 59
11785,20 to 39
3083,40 to 59
6212,20 to 39
5887,20 to 39
4295,20 to 39
6,40 to 59
19894,20 to 39
6609,20 to 39
17295,40 to 59
3163,40 to 59
6120,60+
5488,20 to 39
12197,20 to 39
3143,20 to 39
9171,20 to 39
7950,20 to 39
25803,20 to 39
3542,20 to 39
7315,20 to 39
7315,20 to 39
16408,20 to 39
10818,20 to 39
1149,20 to 39
10489,60+
3159,40 to 59
1627,20 to 39
1732,60+
5426,20 to 39
3548,20 to 39
385,60+
1227,40 to 59
3034,40 to 59
11715,20 to 39
773,20 to 39
70,60+
344,40 to 59
8461,40 to 59
14345,20 to 39
3885,20 to 39
11926,40 to 59
2522,20 to 39
8831,20 to 39
106,60+
9335,40 to 59
6026,20 to 39
1674,40 to 59
17367,40 to 59
5944,20 to 39
4750,20 to 39
1627,40 to 59
1555,40 to 59
2982,40 to 59
7497,40 to 59
5867,20 to 39
483,40 to 59
14619,20 to 39
853,40 to 59
8960,20 to 39
4349,20 to 39
3010,20 to 39
627,40 to 59
11325,20 to 39
4028,20 to 39
3642,20 to 39
3240,20 to 39
10015,40 to 59
16367,40 to 59
5305,40 to 59
13397,20 to 39
4463,40 to 59
16306,20 to 39
6147,20 to 39
5962,20 to 39
,
,
3001,40 to 59
10127,20 to 39
2445,5 to 19
6542,40 to 59
1818,40 to 59
1900,40 to 59
1183,40 to 59
11694,40 to 59
229,40 to 59
6387,20 to 39
8323,20 to 39
2750,20 to 39
6448,20 to 39
1519,20 to 39
7414,20 to 39
4014,20 to 39
3967,40 to 59
814,60+
2193,40 to 59
2870,40 to 59
18014,20 to 39
828,40 to 59
2726,40 to 59
1616,60+
3095,40 to 59
10071,20 to 39
