suburb,postcode,lat,lon,total_patient,population,age
GILEAD,2560,-34.107035,150.761815,19,413,60+
GIRRAWEEN,2145,-33.799843,150.947276,42,5577,20 to 39
GLADESVILLE,2111,-33.832894,151.126964,12,11825,40 to 59
GLEBE,2037,-33.880815,151.187791,4,11537,20 to 39
GLEN ALPINE,2560,-34.084184,150.775275,19,4566,40 to 59
GLENDENNING,2761,-33.739075,150.855174,15,5135,20 to 39
GLENFIELD,2167,-33.971305,150.894517,0,9639,20 to 39
GLENHAVEN,2156,-33.703218,151.006899,3,6501,60+
GLENMORE PARK,2745,-33.790683,150.6693,13,23005,20 to 39
GLENORIE,2157,-33.620011,151.023035,0,3497,40 to 59
GLENWOOD,2768,-33.737863,150.922732,3,16135,40 to 59
GLOSSODIA,2756,-33.535657,150.765856,12,2815,20 to 39
GORDON,2072,-33.757349,151.155678,7,7679,40 to 59
GRANVILLE,2142,-33.835887,151.01064,7,15332,20 to 39
GRASMERE,2570,-34.056293,150.67317,16,1981,60+
GRAYS POINT,2232,-34.05884,151.081652,18,3113,40 to 59
GREAT MACKEREL BEACH,2108,-33.591729,151.300451,1,36,60+
GREEN VALLEY,2168,-33.903526,150.86636,13,12518,40 to 59
GREENACRE,2190,-33.906744,151.057271,3,24372,20 to 39
GREENDALE,2550,-36.600111,149.852112,1,66,40 to 59
GREENDALE,2745,-33.904792,150.646795,13,354,40 to 59
GREENFIELD PARK,2176,-33.872187,150.889408,18,5100,40 to 59
GREENWICH,2065,-33.831958,151.186129,22,5618,20 to 39
GREYSTANES,2145,-33.829667,150.951452,42,22796,20 to 39
GROSE VALE,2753,-33.584089,150.672944,5,1270,40 to 59
GROSE WOLD,2753,-33.602392,150.688628,5,633,40 to 59
GUILDFORD,2161,-33.853984,150.985958,8,22342,20 to 39
GUILDFORD WEST,2161,-33.851099,150.972299,8,4919,20 to 39
GYMEA,2227,-34.033142,151.085421,6,7577,40 to 59
GYMEA BAY,2227,-34.048156,151.086087,6,6878,40 to 59
HABERFIELD,2045,-33.880496,151.138839,1,6469,40 to 59
HAMMONDVILLE,2170,-33.948113,150.953727,22,3487,60+
HARRINGTON PARK,2567,-34.023239,150.742232,19,10653,40 to 59
HARRIS PARK,2150,-33.822427,151.008961,5,5797,20 to 39
HASSALL GROVE,2761,-33.733813,150.834277,15,4510,40 to 59
HAYMARKET,2000,-33.880777,151.202796,18,7341,20 to 39
HEATHCOTE,2233,-34.079112,151.008619,13,5998,40 to 59
HEBERSHAM,2770,-33.743504,150.822682,12,5686,20 to 39
HECKENBERG,2168,-33.911083,150.889921,13,3082,20 to 39
HENLEY,2111,-33.842216,151.135943,12,470,40 to 59
HILLSDALE,2036,-33.952685,151.231341,12,5494,20 to 39
HINCHINBROOK,2168,-33.916611,150.863863,13,11203,40 to 59
HOBARTVILLE,2753,-33.601557,150.735673,5,2761,20 to 39
HOLROYD,2142,-33.829836,150.993334,7,1284,20 to 39
HOLSWORTHY,2173,-33.950403,150.949972,1,5481,20 to 39
HOMEBUSH,2140,-33.859654,151.081847,5,6991,20 to 39
HOMEBUSH WEST,2140,-33.866788,151.069369,5,8607,20 to 39
HORNINGSEA PARK,2171,-33.945088,150.842975,12,3733,40 to 59
HORNSBY,2077,-33.704748,151.098696,22,22173,20 to 39
HORNSBY HEIGHTS,2077,-33.670086,151.095503,22,6290,40 to 59
HORSLEY PARK,2175,-33.845034,150.848192,0,1861,40 to 59
HOXTON PARK,2171,-33.92678,150.857888,12,4354,20 to 39
HUNTERS HILL,2110,-33.83484,151.154196,10,9525,40 to 59
HUNTINGWOOD,2148,-33.797537,150.879863,34,15,60+
HUNTLEYS COVE,2111,-33.839798,151.144587,12,745,60+
HUNTLEYS POINT,2111,-33.840088,151.145968,12,138,40 to 59
HURLSTONE PARK,2193,-33.909964,151.13224,10,4682,40 to 59
HURSTVILLE,2220,-33.965923,151.101184,9,29829,20 to 39
HURSTVILLE GROVE,2220,-33.980653,151.091136,9,2678,40 to 59
ILLAWONG,2234,-33.998018,151.042591,20,7262,40 to 59
INGLEBURN,2565,-33.998718,150.866344,3,15046,20 to 39
INGLESIDE,2101,-33.683176,151.262322,9,986,40 to 59
JAMISONTOWN,2750,-33.766193,150.67951,27,5480,20 to 39
KANGAROO POINT,2224,-33.997972,151.096235,7,549,40 to 59
KAREELA,2232,-34.014668,151.082733,18,3456,60+
KEARNS,2558,-34.021321,150.803211,5,2756,40 to 59
KELLYVILLE,2155,-33.712415,150.958009,25,27976,40 to 59
KELLYVILLE RIDGE,2155,-33.700104,150.92865,25,10471,20 to 39
KEMPS CREEK,2178,-33.88013,150.790485,2,2274,40 to 59
KENSINGTON,2033,-33.912997,151.219017,8,14985,20 to 39
KENTHURST,2156,-33.661023,151.005034,3,5035,40 to 59
KENTLYN,2560,-34.073171,150.85743,19,746,60+
KILLARA,2071,-33.766376,151.162047,4,10573,40 to 59
KILLARNEY HEIGHTS,2087,-33.773728,151.216125,6,4477,40 to 59
KINGS LANGLEY,2147,-33.742079,150.922711,12,9365,40 to 59
KINGS PARK,2148,-33.745736,150.904598,34,3456,20 to 39
KINGSFORD,2032,-33.924922,151.227811,7,15481,20 to 39
KINGSGROVE,2208,-33.939481,151.098941,2,12449,40 to 59
KINGSWOOD,2340,-31.16588,150.919441,12,1042,40 to 59
KINGSWOOD,2550,-36.738556,149.81742,1,6,40 to 59
KINGSWOOD,2747,-33.759967,150.72046,50,9297,20 to 39
KIRKHAM,2570,-34.038536,150.71674,16,701,40 to 59
KIRRAWEE,2232,-34.033743,151.071196,18,9286,60+
KIRRIBILLI,2061,-33.846275,151.212705,3,3826,20 to 39
KOGARAH,2217,-33.963107,151.133462,10,15126,20 to 39
KOGARAH BAY,2217,-33.979117,151.123296,10,2018,40 to 59
KURMOND,2757,-33.549452,150.701116,1,859,40 to 59
KURNELL,2231,-34.008487,151.204879,1,2271,40 to 59
KURRAJONG,2758,-33.546749,150.660686,4,3062,40 to 59
KURRAJONG HILLS,2758,-33.541464,150.639331,4,663,40 to 59
KYEEMAGH,2216,-33.951452,151.159943,13,907,60+
KYLE BAY,2221,-33.991238,151.098301,2,1041,40 to 59
LA PEROUSE,2036,-33.989634,151.231507,12,407,40 to 59
LAKEMBA,2195,-33.920457,151.075921,5,17031,20 to 39
LALOR PARK,2147,-33.761339,150.930337,12,7662,20 to 39
LANE COVE,2066,-33.814599,151.168722,16,10817,20 to 39
LANE COVE NORTH,2066,-33.807556,151.170912,16,11442,20 to 39
LANE COVE WEST,2066,-33.806246,151.153281,16,2625,40 to 59
LANSDOWNE,2163,-33.893687,150.971005,7,14,20 to 39
LANSDOWNE,2430,-31.782989,152.534579,16,596,60+
LANSVALE,2166,-33.89733,150.952786,4,2554,40 to 59
LAUGHTONDALE,2775,-33.410229,151.024592,0,81,40 to 59
LAVENDER BAY,2060,-33.84307,151.208015,11,956,20 to 39
LEETS VALE,2775,-33.427708,150.948095,0,57,60+
LEICHHARDT,2040,-33.883793,151.157057,11,14625,20 to 39
LEONAY,2750,-33.759156,150.652318,27,2503,40 to 59
LEPPINGTON,2179,-33.964333,150.81727,1,3501,20 to 39
LETHBRIDGE PARK,2770,-33.736938,150.799824,12,4730,20 to 39
LEUMEAH,2560,-34.052285,150.833396,19,9826,20 to 39
LEWISHAM,2049,-33.894902,151.144413,4,3161,20 to 39
LIBERTY GROVE,2138,-33.841665,151.083609,4,2254,20 to 39
LIDCOMBE,2141,-33.865218,151.043519,7,19620,20 to 39
LILLI PILLI,2229,-34.069836,151.114032,15,1378,40 to 59
LILLI PILLI,2536,-35.773317,150.225056,5,618,60+
LILYFIELD,2040,-33.872991,151.165788,11,7611,40 to 59
LINDFIELD,2070,-33.776441,151.168736,10,9774,40 to 59
LINLEY POINT,2066,-33.826777,151.148251,16,352,40 to 59
LITTLE BAY,2036,-33.981177,151.243206,12,4474,20 to 39
LIVERPOOL,2170,-33.92505,150.924429,22,27107,20 to 39
LLANDILO,2747,-33.708904,150.756773,50,1640,40 to 59
LOFTUS,2232,-34.048075,151.051176,18,4135,40 to 59
LONDONDERRY,2753,-33.645188,150.73698,5,3896,40 to 59
LONG POINT,2330,-32.568903,151.109612,3,35,40 to 59
LONG POINT,2564,-34.016437,150.898579,5,188,60+
LONG POINT,2564,-34.011944,150.896944,11,193,20 to 39
LONGUEVILLE,2066,-33.833096,151.165342,16,2082,40 to 59
LOVETT BAY,2105,-33.637405,151.278429,0,141,40 to 59
LOWER PORTLAND,2756,-33.451409,150.865871,12,586,40 to 59
LUCAS HEIGHTS,2234,-34.047985,150.988369,20,10529,60+
LUDDENHAM,2745,-33.883725,150.693079,13,1814,40 to 59
LUGARNO,2210,-33.982956,151.046942,21,5616,40 to 59
LURNEA,2170,-33.931947,150.896105,22,9333,20 to 39
MACQUARIE FIELDS,2564,-33.989471,150.882626,5,13728,20 to 39
MACQUARIE LINKS,2565,-33.982185,150.867561,3,1373,40 to 59
MACQUARIE PARK,2113,-33.779795,151.134041,22,8153,20 to 39
MAIANBAR,2230,-34.081826,151.129788,25,498,40 to 59
